NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,69.2,69.5,66.7,68.6,74.8,72.2,66,57.9,50.8
2,Carlos V,70.1,69.9,67.4,69.4,75.4,71.5,67.9,61.4,55.4
3,Plaza del Carmen,61.5,60.9,61.5,61,69.1,63.7,58.1,52.1,46.8
4,Plaza de Espana,66.1,65.8,65.3,65.8,72.6,67.8,63.9,57.2,49.6
5,Barrio del Pilar,63.9,64.5,60.9,63.3,70,66.2,59.8,46.8,39.3
6,Gregorio Maranon,71,70.5,66.5,70,N/D,N/D,N/D,N/D,N/D
8,Escuelas Aguirre,68.5,68.1,64.6,67.5,73.9,70.7,65.9,58.4,48.9
10,Cuatro Caminos,66.8,65.9,61.5,65.4,73.6,69,61.4,50.9,44.8
11,Ramon y Cajal,70.4,69.1,63.6,68.8,75.9,71.7,66.5,52.4,39.7
12,Plaza Manuel Becerra,65,65.5,63.6,64.6,70.4,65.5,61.6,54.5,47.8
13,Vallecas,59.6,61.8,63.8,61.8,67.1,61.1,53.9,42.7,39.2
14,Glorieta Fdez. Ladreda,66.3,65.9,63.6,65.5,71.2,67.9,63.5,56.1,48.6
16,Arturo Soria,63.3,62.3,58.7,62,68.4,65.5,59.6,43.8,36.1
17,Villaverde,57.9,60.1,60.1,59,64.8,59,52.6,42.3,38.4
18,Farolillo,61.1,61.6,69.5,65.8,68,59,51.2,40,34.9
19,Alto Extremadura,62.1,61.8,58.9,61.2,69.3,64.1,58,47.7,37.7
20,Avda de Moratalaz,63.6,63.2,58.4,62.3,71,64.8,58.7,46.4,37.3
24,Casa de Campo,50.4,46,46,48.7,58.8,51,44.1,39,36.2
25,Santa Eugenia,67.2,67.8,62.2,66.1,71.3,68.6,65.7,57.3,48.1
26,Embajada,64.4,63.2,58.9,63,71.6,67.7,58.2,49.9,41.8
27,Barajas Pueblo,62.7,61.8,61.6,62.3,72.2,65.7,52.3,41.9,35.3
28,Cuatro Vientos,68.7,67.5,62.3,67.2,75.6,71.7,61.8,43.4,36.4
29,El Pardo,57.5,55.9,49.8,55.8,65.2,60.2,50.1,36,33.5
30,Campo de las Naciones,61.7,59.7,53.3,59.9,67.4,63.7,57.2,43.8,37.7
31,Sanchinarro,65.2,65.7,54.7,63.8,73.7,68.9,55.8,43.9,37.9
47,Mendez alvaro,56.7,58.1,69.4,65.1,66.6,56.4,48.9,40.4,36.5
48,Castellana,63.6,63.5,59.4,62.5,68.8,65.9,61.3,54.1,46.4
50,Pza de Castilla,67.1,66.6,62.3,65.7,72,67.7,63.7,56.2,48.8
54,Ensanche de Vallecas,62.2,62.5,60.7,61.8,68,64.5,59.6,49.6,36.3
55,Urbanizacion Embajada II,57.1,55.1,58.8,57.5,63.4,58.1,50.4,43.9,41.6
86,Tres Olivos,59.2,58.2,56.5,58.3,67.2,61.4,52.1,39,36.5
